DEW,SLP,TMP,VIS,WND_SPD,WEATHER_DELAY
-117,10214,-44,16093,46,1
-117,10214,-44,16000,46,1
-117,10214,-44,16093,46,1
-117,10214,-44,16093,46,1
-117,10214,-44,16093,46,0
-117,10214,-44,16093,46,1
-117,10214,-44,16093,46,0
-117,10214,-44,16093,46,1
-117,10214,-44,16093,46,1
-117,10214,-44,16093,46,0
-117,10214,-44,16093,46,1
-117,10214,-44,16000,46,0
-117,10214,-44,16093,46,0
-117,10214,-44,16000,46,1
-117,10214,-44,16000,46,0
-117,10212,-44,16093,41,0
-117,10212,-44,16093,41,1
-117,10212,-44,16093,41,1
-117,10212,-44,16093,41,1
-117,10212,-44,16093,41,1
-117,10212,-44,16093,41,1
-117,10212,-44,16093,41,1
-117,10212,-44,16093,41,1
-117,10212,-44,16093,41,1
-117,10212,-44,16093,41,0
-117,10210,-50,16093,41,1
-117,10210,-50,16093,41,1
-117,10210,-50,16093,41,1
-128,10206,-44,16093,51,1
-117,10210,-50,16093,41,1
-117,10210,-50,16093,41,1
-117,10210,-50,16093,41,1
-117,10210,-50,16093,41,1
-117,10210,-50,16093,41,0
-117,10210,-50,16093,41,1
-117,10210,-50,16093,41,0
-117,10210,-50,16093,41,0
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,1
-117,10210,-50,16093,41,0
-117,10210,-50,16093,41,0
-128,10206,-44,16093,51,1
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,1
-117,10210,-50,16093,41,1
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,1
-128,10206,-44,16093,51,1
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,1
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,0
-128,10206,-44,16093,51,0
-133,10209,-44,16093,0,0
-133,10209,-44,16093,0,0
-133,10209,-44,16093,0,0
-133,10209,-44,16093,0,0
-133,10209,-44,16093,0,0
-128,10215,-44,16093,26,0
-133,10209,-44,16093,0,0
-133,10209,-44,16093,0,0
-133,10209,-44,16093,0,0
-133,10209,-44,16093,0,0
-133,10209,-44,16093,0,1
-133,10209,-44,16093,0,0
-133,10209,-44,16093,0,0
-128,10215,-44,16093,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10215,-44,16093,26,0
-128,10215,-44,16093,26,1
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10215,-44,16093,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-117,10219,-56,16093,26,1
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,1
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,0
-128,10216,-56,16000,26,1
-117,10219,-56,16093,26,0
-117,10219,-56,16093,26,0
-117,10219,-56,16093,26,0
-117,10219,-56,16093,26,0
-117,10219,-56,16093,26,0
